participant,covaamelio1,covaamelio2,covaamelio3,covaamelio4,covaamelio5,covaamelio6,covaamelio7,covaamelio8,covaamelio9
1,-0.062791567603975,16.5570647612807,0.728300545119649,-1.18139570597443,-0.445962157887548,-0.809205330107427,3.56566011678667,3.02167095782722,4.40720903293339
2,-0.174698254857193,0.897470816171378,1.11495826774339,18946.0203578901,-0.288138228574998,0.0240411035621606,1.89984831563698,0.0308142231521047,3.24335533894993
3,-0.252360999312074,2.73430656788725,-1.1279692854673,0.810952787591805,0.835892106781002,-0.571704181461939,3.30976926692428,0.620805868554291,0.181572259109352
4,0.19203630506743,-1.58369393935826,1.84252722218552,-1.03811452648399,-0.00326826489820496,0.913696718412938,0.771538997670184,0.444753145173176,0.485766913112483
5,0.141351614112212,-0.0599083042797837,-59292.0337463126,-17535.3029222123,0.280342176588237,0.463573481504714,2.08634443989729,0.617986936459591,0.393956590691753
6,-0.958784409525339,0.944938943934048,414811.392277025,13938.7063080976,-0.639065919037426,-1.91295531271258,1.99918579529837,1.16001791741457,0.950075408507691
7,0.127199303079384,-0.58854523011353,-0.0953548985692808,0.140274193608954,0.0520289185800987,-1.41164774726293,4.05071863171764,4.2909321718211,1.11742661348282
8,0.366792314384596,-0.376080969298667,-0.0780471681902408,3.65544749527893,-52774.5062139423,-15957.9034029063,2.17339703071889,4.17987390566974,4.16701762836018
9,-1.53548165488097,0.546089049702279,0.618843267746284,-0.738094745725447,7.49851720428505,-7.1171707318762,1.70048683248254,4.02856921273929,4.26378534355151
10,0.43382761454698,-5.29636112595798,0.400406767519221,10.9892557882301,-0.185669528807652,0.802029749237021,0.0703049031892256,2.18708042532937,1.3140278041414
11,-0.467184504858888,0.145710347172461,2.91143979586507,7.3222901668992,-0.629447502805728,-0.474583631019489,0.68486497818598,3.38919750096357,2.16894625797878
12,-0.150998519831738,712.991572867451,173.744201054157,-496.764601432168,-0.686638144776884,0.770154789316142,0.16653461743141,0.226486115630528,4.56098733266049
